frame,trial,look
1,0,OFF
2,0,OFF
3,0,OFF
4,0,OFF
5,0,OFF
6,0,OFF
7,0,OFF
8,0,OFF
9,0,OFF
10,0,OFF
11,0,OFF
12,0,OFF
13,0,OFF
14,0,OFF
15,0,OFF
16,0,OFF
17,0,OFF
18,0,OFF
19,0,OFF
20,0,OFF
21,0,OFF
22,0,OFF
23,0,OFF
24,0,OFF
25,0,OFF
26,0,OFF
27,0,OFF
28,0,OFF
29,0,OFF
30,0,OFF
31,0,OFF
32,0,OFF
33,0,OFF
34,0,OFF
35,0,OFF
36,0,OFF
37,0,OFF
38,0,OFF
39,0,OFF
40,0,OFF
41,0,OFF
42,0,OFF
43,0,OFF
44,0,OFF
45,0,OFF
46,0,OFF
47,0,OFF
48,0,OFF
49,0,OFF
50,0,OFF
51,0,OFF
52,0,OFF
53,0,OFF
54,0,OFF
55,0,OFF
56,0,OFF
57,0,OFF
58,0,OFF
59,0,OFF
60,0,OFF
61,0,OFF
62,0,OFF
63,0,OFF
64,0,OFF
65,0,OFF
66,0,OFF
67,0,OFF
68,0,OFF
69,0,OFF
70,0,OFF
71,0,OFF
72,0,OFF
73,0,OFF
74,0,OFF
75,0,OFF
76,0,OFF
77,0,OFF
78,0,OFF
79,0,OFF
80,0,OFF
81,0,OFF
82,0,OFF
83,0,OFF
84,0,OFF
85,0,OFF
86,0,OFF
87,0,OFF
88,0,OFF
89,0,OFF
90,0,OFF
91,0,OFF
92,0,OFF
93,0,OFF
94,0,OFF
95,0,OFF
96,0,OFF
97,0,OFF
98,0,OFF
99,0,OFF
100,0,OFF
101,0,OFF
102,0,OFF
103,0,OFF
104,0,OFF
105,0,OFF
106,0,OFF
107,0,OFF
108,0,OFF
109,0,OFF
110,0,OFF
111,0,OFF
112,0,OFF
113,0,OFF
114,0,OFF
115,0,OFF
116,0,OFF
117,0,OFF
118,0,OFF
119,0,OFF
120,0,OFF
121,0,OFF
122,0,OFF
123,0,OFF
124,0,OFF
125,0,OFF
126,0,OFF
127,0,OFF
128,0,OFF
129,0,OFF
130,0,OFF
131,0,OFF
132,0,OFF
133,0,OFF
134,0,OFF
135,0,OFF
136,0,OFF
137,0,OFF
138,0,OFF
139,0,OFF
140,0,OFF
141,0,OFF
142,0,OFF
143,0,OFF
144,0,OFF
145,0,OFF
146,0,OFF
147,0,OFF
148,0,OFF
149,0,OFF
150,0,OFF
151,0,OFF
152,0,OFF
153,0,OFF
154,0,OFF
155,0,OFF
156,0,OFF
157,0,OFF
158,0,OFF
159,0,OFF
160,0,OFF
161,0,OFF
162,0,OFF
163,0,OFF
164,0,OFF
165,0,OFF
166,0,OFF
167,0,OFF
168,0,OFF
169,0,OFF
170,0,OFF
171,0,OFF
172,0,OFF
173,1,OFF
174,1,OFF
175,1,OFF
176,1,OFF
177,1,OFF
178,1,OFF
179,1,OFF
180,1,OFF
181,1,OFF
182,1,OFF
183,1,OFF
184,1,Left
185,1,Left
186,1,Left
187,1,Left
188,1,Left
189,1,Right
190,1,Right
191,1,Right
192,1,Right
193,1,Right
194,1,Right
195,1,Right
196,1,Right
197,1,Right
198,1,Right
199,1,Right
200,1,Right
201,1,Right
202,1,Right
203,1,Right
204,1,Right
205,1,Right
206,1,Right
207,1,Right
208,1,Right
209,1,Right
210,1,Right
211,1,Right
212,1,Right
213,1,Right
214,1,Left
215,1,Left
216,1,Left
217,1,Left
218,1,Left
219,1,Left
220,1,Left
221,1,Left
222,1,Left
223,1,Left
224,1,Left
225,1,Left
226,1,Left
227,1,Left
228,1,Left
229,1,Left
230,1,Left
231,1,Left
232,1,Left
233,1,Left
234,1,Left
235,1,Left
236,1,Left
237,1,Left
238,1,Left
239,1,Left
240,1,Left
241,1,Left
242,1,Left
243,1,Left
244,1,Left
245,1,Left
246,1,Left
247,1,Right
248,1,Right
249,1,Right
250,1,Right
251,1,Right
252,1,Right
253,1,Right
254,1,Right
255,1,Right
256,1,Right
257,1,Right
258,1,Right
259,1,Right
260,1,Right
261,1,Right
262,1,Right
263,1,Right
264,1,Right
265,1,Left
266,1,Left
267,1,Left
268,1,Right
269,1,Right
270,1,Right
271,1,Right
272,1,Right
273,1,Right
274,1,Right
275,1,Right
276,1,Right
277,1,Right
278,1,Right
279,1,Right
280,1,Right
281,1,Right
282,1,Right
283,1,Right
284,1,Right
285,1,Right
286,1,Right
287,1,Right
288,1,Right
289,1,Right
290,1,Right
291,1,Right
292,1,Right
293,1,Right
294,1,Right
295,1,Right
296,1,Right
297,1,Right
298,1,Right
299,1,Right
300,1,Right
301,1,Right
302,1,Right
303,1,Right
304,1,Left
305,1,Left
306,1,Left
307,1,Left
308,1,Left
309,1,Left
310,1,Left
311,1,Left
312,1,Left
313,1,Left
314,1,Left
315,1,Left
316,1,Left
317,1,Left
318,1,Left
319,1,Left
320,1,Left
321,1,Left
322,1,Left
323,1,Left
324,1,Left
325,1,Right
,,
